Day,RSI,Stochastic Oscillator,Williams,MACD,Price Rate Of Change,On Balance Volume,Close,Buy/Sell
559,67.6461941922,54.6857288702,-45.3142711298,0.71293310783,-0.00286824949676,1.08860566453e+11,125.010002,Buy
562,60.7387475009,45.3538154665,-54.6461845335,0.545835646185,-0.00202526920543,1.08805888702e+11,126.32,Sell
565,58.8002162238,35.0709488479,-64.9290511521,0.391039839201,-0.000250356040894,1.08751206571e+11,128.949997,Buy
568,69.0970503652,54.3646713472,-45.6353286528,0.388307010578,0.00526478973932,1.08901526102e+11,130.070007,Buy
571,78.5168606985,75.2212198959,-24.7787801041,0.512871442738,0.00731532490877,1.09045155191e+11,132.539993,Buy
574,82.983254736,77.9437076259,-22.0562923741,0.670164860357,0.00498500793771,1.09191690703e+11,131.779999,Sell
577,84.3533332227,79.3950602895,-20.6049397105,0.767657908333,0.00173279136064,1.09331066813e+11,129.960007,Sell
580,80.0719221511,74.3499631507,-25.6500368493,0.758960787789,-0.000562211248611,1.09289019804e+11,128.649994,Buy
583,66.9963859113,56.6353093313,-43.3646906687,0.621731586177,-0.00293430601231,1.0915660521e+11,128.880005,Sell
586,53.9595038031,29.8188985382,-70.1811014618,0.441582598414,-0.00331486061806,1.09027687511e+11,126.919998,Buy
589,46.5275542862,26.8952724534,-73.1047275466,0.246344758367,-0.00226556202431,1.08904599093e+11,127.879997,Sell
592,38.6024174587,20.948700656,-79.051299344,0.0692720779514,-0.00271107966514,1.08781808631e+11,127.029999,Sell
595,34.6590081509,20.8039710664,-79.1960289336,-0.0541789161616,-0.00137649104362,1.08741829789e+11,126.75,Sell
598,24.6832127351,17.3526042223,-82.6473957777,-0.22100951991,-0.00470901783178,1.08617408738e+11,126.599998,Sell
601,20.4256668677,23.8256956123,-76.1743043877,-0.344474874105,-0.00262946577505,1.08500217077e+11,125.690002,Sell
604,11.2685392355,19.8139728579,-80.1860271421,-0.582906073592,-0.0101606373262,1.08367807978e+11,123.279999,Buy
607,15.5469866623,23.3066817285,-76.6933182715,-0.701176450224,0.000794797316312,1.08320889388e+11,126.82,Buy
610,47.3229001599,58.6043511879,-41.3956488121,-0.549179341383,0.00907671678646,1.08451453102e+11,132.070007,Sell
613,47.0440921837,61.526311296,-38.473688704,-0.328879074743,-0.000134048992476,1.08391156453e+11,125.160004,Sell
616,34.9948031006,35.7083497421,-64.2916502579,-0.344245985715,-0.00693802012012,1.08236285767e+11,123.379997,Sell
619,25.6270537573,21.2404763523,-78.7595236477,-0.503810787922,-0.00795382562612,1.08092815663e+11,121.300003,Sell
622,14.4544040807,17.1659558129,-82.8340441871,-0.909363961244,-0.0185971227209,1.07926769319e+11,115.400002,Buy
625,10.8006664868,16.3251322496,-83.6748677504,-1.39614705546,-0.012166654345,1.07751842023e+11,119.720001,Sell
628,7.91834985763,16.4455830686,-83.5544169314,-1.80956046127,-0.0139667527113,1.07562087176e+11,115.150002,Buy
631,6.87706689594,16.4309637473,-83.5690362527,-2.04629375548,-0.0064194811518,1.07383848601e+11,116.5,Sell
634,4.72088777436,12.9975065811,-87.0024934189,-2.26550227967,-0.0172952140327,1.0720603026e+11,105.760002,Buy
637,3.11651735268,20.0910785812,-79.9089214188,-2.77606308954,-0.0243501609372,1.06977856377e+11,109.690002,Buy
640,3.01271510776,21.6777423427,-78.3222576573,-2.92927188313,-0.00197814723024,1.06747956721e+11,112.760002,Sell
643,2.60051395735,20.1770201253,-79.8229798747,-2.91270053812,-0.00775940942303,1.06528083671e+11,110.370003,Sell
646,2.3451058016,19.3716869572,-80.6283130428,-2.77987221179,-0.00492878750568,1.06320663698e+11,110.150002,Buy
649,12.5082005752,34.5326847229,-65.4673152771,-2.45884365869,0.00446431222736,1.06523439873e+11,115.309998,Sell
652,25.5026610602,56.1604896687,-43.8395103313,-1.95080992728,0.00636584266739,1.06711183907e+11,113.919998,Buy
655,28.6790886754,68.9224165991,-31.0775834009,-1.50266985336,0.00139101985006,1.06775339325e+11,113.400002,Buy
658,34.7260381909,73.8004324327,-26.1995675673,-1.11957763337,0.00256529577486,1.06948743178e+11,114.709999,Sell
661,26.386429379,53.8069269906,-46.1930730094,-0.938830982267,-0.0075764641489,1.06774028215e+11,110.300003,Buy
664,21.3297934191,36.1171637041,-63.8828362959,-0.933426299134,-0.00621631541704,1.06595933977e+11,110.779999,Sell
667,18.26407894,31.9259412135,-68.0740587865,-0.939438377208,-0.0042103771043,1.06424075868e+11,109.5,Buy
670,18.8729039713,33.0444842636,-66.9555157364,-0.8978585875,1.55286161009e-05,1.06374287808e+11,111.790001,Sell
673,17.8644037995,30.1681990118,-69.8318009882,-0.837581827534,-0.00175856887484,1.06323782192e+11,111.040001,Buy
676,32.1427850607,50.3991215795,-49.6008784205,-0.701200664115,0.00355197752638,1.06465518215e+11,113.760002,Buy
679,58.2849183587,75.5748518656,-24.4251481344,-0.378150507315,0.0106219305918,1.06609045948e+11,115.279999,Buy
682,73.1632742518,82.6796874174,-17.3203125826,0.0176223264763,0.0116912100488,1.06769386965e+11,120.529999,Buy
685,82.9005942371,86.9174537085,-13.0825462915,0.529091825271,0.0150614611765,1.06926199122e+11,122.57,Sell
688,87.2102589651,87.5054211445,-12.4945788555,1.02194167246,0.0112362680123,1.07074284913e+11,121.059998,Sell
691,82.8583904438,82.2981436903,-17.7018563097,1.26261243075,0.000229622460868,1.0702552777e+11,116.110001,Sell
694,66.2894929402,65.5441690788,-34.4558309212,1.13066577455,-0.00785466229145,1.0688794943e+11,114.18,Buy
697,64.7645785928,53.3031404224,-46.6968595776,0.899015629365,0.000190951355228,1.06932116911e+11,118.779999,Buy
